Load address: $1000 Init address: $1000 Play address: $1003
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|    66 | ....  ... ..  .. .... 3E0 | ....  ... ..  .. .... 4FA | ....  ... ..  40 .... 9B8 | 2300 .. ... . |
|    67 | ....  ... ..  .. .... 408 | 183F (F#4 B6) 10 .... 51B | 1B37 (G#4 B8) 20 .... 9C8 | 2400 .. ... . |
|    68 | ....  ... ..  .. .... 430 | 0E6A (A-3 AD) 20 .... 53B | 6CDE (G#6 D0) 12 .... 9D9 | 2500 .. ... . |
|    69 | ....  ... ..  .. .... 458 | ....  ... ..  40 .... 55B | 1B37 (G#4 B8) 10 .... 9E9 | 2600 .. ... . |
|    70 | ....  ... ..  .. .... 480 | 1B37 (G#4 B8) .. .... 57B | ....  ... ..  40 .... 9F9 | 2700 .. ... . |
|    71 | ....  ... ..  .. .... 4A8 | ....  ... ..  .. .... 59B | ....  ... ..  20 .... A09 | 2800 .. ... . |
|    72 | ....  ... ..  .. .... 4D0 | 159A (E-4 B4) .. .... 5BB | 6CDE (G#6 D0) 12 .... A1A | .... .. ... . |
|    73 | ....  ... ..  09 00F5 ... | ....  ... ..  .. .... 5DB | 1B37 (G#4 B8) 10 .... A2A | .... .. ... . |
|    74 | 0915  ... ..  .. .... 8D0 | 122A (C#4 B1) 20 .... 5FB | ....  ... ..  40 .... A3A | 9000 .. ... . |
|    75 | 5C15  F-6 CD  81 .... ... | ....  ... ..  .. .... 61B | ....  ... ..  20 .... A4A | .... .. ... . |
|    76 | 0CD8 (G-3 AB) 41 .... ... | 183F (F#4 B6) 10 .... 63C | 6CDE (G#6 D0) 12 .... A5B | 1800 .. ... . |
|    77 | 0C1F (F#3 AA) 40 .... ... | 0E6A (A-3 AD) 20 .... 65C | 1B37 (G#4 B8) 10 .... A6B | C000 .. ... . |
|    78 | FE1F (B-7 DF) 80 .... ... | ....  ... ..  40 .... 67C | ....  ... ..  40 .... A7B | 7A00 .. ... . |
|    79 | ....  ... ..  .. .... ... | 1B37 (G#4 B8) .. .... 69C | ....  ... ..  20 .... A8B | .... .. ... . |
|    80 | 0915  ... ..  00 .... ... | ....  ... ..  .. .... 6BC | 6CDE (G#6 D0) 12 .... A9C | .... .. ... . |
|    81 | ....  ... ..  .. .... ... | 159A (E-4 B4) .. .... 6DC | 1B37 (G#4 B8) 10 .... AAC | .... .. ... . |
|    82 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 6FC | ....  ... ..  40 .... ABC | .... .. ... . |
|    83 | ....  ... ..  .. .... ... | 122A (C#4 B1) 20 .... 71C | ....  ... ..  20 .... ACC | .... .. ... . |
|    84 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 73C | 6CDE (G#6 D0) 12 .... ADD | .... .. ... . |
|    85 | ....  ... ..  09 0692 ... | 183F (F#4 B6) 10 .... 75D | 1B37 (G#4 B8) 10 .... AED | .... .. ... . |
|    86 | 06CD  ... ..  .. .... 3F8 | 0E6A (A-3 AD) 20 .... 77D | ....  ... ..  40 .... AFD | 2000 .. ... . |
|    87 | 0D9B  G#3 AC  11 .... 420 | ....  ... ..  40 .... 79D | ....  ... ..  20 .... B0D | .... .. ... . |
|    88 | 06CD (G#2 A0) 41 .... 448 | 1B37 (G#4 B8) .. .... 7BD | 6CDE (G#6 D0) 12 .... B1E | 2100 .. ... . |
|    89 | ....  ... ..  .. .... 470 | ....  ... ..  .. .... 7DD | 1B37 (G#4 B8) 10 .... B2E | 2200 .. ... . |
|    90 | ....  ... ..  .. .... 498 | 159A (E-4 B4) .. .... 7FD | ....  ... ..  40 .... B3E | 2300 .. ... . |
|    91 | ....  ... ..  .. .... 4C0 | ....  ... ..  .. .... 81D | ....  ... ..  20 .... B4E | 2400 .. ... . |
|    92 | ....  ... ..  .. .... 4E8 | 122A (C#4 B1) 20 .... 83D | 6CDE (G#6 D0) 12 .... B5F | 2500 .. ... . |
|    93 | ....  ... ..  .. .... 510 | ....  ... ..  .. .... 85D | 1B37 (G#4 B8) 10 .... B6F | 2600 .. ... . |
|    94 | ....  ... ..  40 .... 538 | 183F (F#4 B6) 10 .... 87E | ....  ... ..  40 .... B7F | 2700 .. ... . |
|    95 | ....  ... ..  .. .... 560 | 0E6A (A-3 AD) 20 .... 89E | ....  ... ..  20 .... B8F | 2800 .. ... . |
|    96 | ....  ... ..  .. .... 588 | ....  ... ..  40 .... 8BE | 6CDE (G#6 D0) 12 .... BA0 | .... .. ... . |
|    97 | ....  ... ..  09 .... ... | ....  ... ..  09 .... ... | ....  ... ..  09 .... ... | .... .. ... . |
|    98 | 0307  ... ..  .. .... 3B0 | 0ACD  ... ..  .. .... 5DE | 183F  ... ..  .. .... 8B0 | 2000 .. ... . |
|    99 | 060F  F#2 9E  11 .... 3D8 | 0ACD  E-3 A8  21 .... 5FE | 183F  F#4 B6  41 .... 8C0 | .... .. ... . |
|   100 | 0307 (F#1 92) 40 .... 400 | 159A (E-4 B4) 10 .... 61E | 60FD (F#6 CE) 12 .... 8D0 | 2100 .. ... . |
|   101 | ....  ... ..  .. .... 428 | 0D9B (G#3 AC) 20 .... 63E | 183F (F#4 B6) 10 .... 8E0 | 2200 .. ... . |
|   102 | ....  ... ..  .. .... 450 | ....  ... ..  40 .... 65E | ....  ... ..  40 .... 8F0 | 2300 .. ... . |
|   103 | ....  ... ..  09 .... ... | 183F (F#4 B6) .. .... 67E | 1B37 (G#4 B8) 20 .... 900 | .... .. ... . |
|   104 | 060F  ... ..  .. .... 378 | ....  ... ..  .. .... 69E | 6CDE (G#6 D0) 12 .... 911 | 2000 .. ... . |
|   105 | 0C1F  F#3 AA  11 .... 3A0 | 122A (C#4 B1) .. .... 6BE | 1B37 (G#4 B8) 10 .... 921 | .... .. ... . |
|   106 | 060F (F#2 9E) 41 .... 3C8 | ....  ... ..  .. .... 6DE | ....  ... ..  40 .... 931 | 2100 .. ... . |
|   107 | ....  ... ..  .. .... 3F0 | 102E (B-3 AF) 20 .... 6FE | ....  ... ..  20 .... 941 | 2200 .. ... . |
|   108 | ....  ... ..  .. .... 418 | ....  ... ..  .. .... 71E | 6CDE (G#6 D0) 12 .... 952 | 2300 .. ... . |
|   109 | ....  ... ..  .. .... 440 | 159A (E-4 B4) 10 .... 73F | 183F (F#4 B6) 10 .... 962 | 2400 .. ... . |
|   110 | ....  ... ..  .. .... 468 | 0D9B (G#3 AC) 20 .... 75F | ....  ... ..  40 .... 972 | 2500 .. ... . |
|   111 | ....  ... ..  .. .... 490 | ....  ... ..  40 .... 77F | ....  ... ..  20 .... 982 | 2600 .. ... . |
|   112 | ....  ... ..  .. .... 4B8 | 183F (F#4 B6) .. .... 79F | 60FD (F#6 CE) 12 .... 993 | 2700 .. ... . |
|   113 | ....  ... ..  .. .... 4E0 | ....  ... ..  .. .... 7BF | 183F (F#4 B6) 10 .... 9A3 | 2800 .. ... . |
|   114 | ....  ... ..  .. .... 508 | 122A (C#4 B1) .. .... 7DF | ....  ... ..  40 .... 9B3 | .... .. ... . |
|   115 | ....  ... ..  40 .... 530 | ....  ... ..  .. .... 7FF | 122A (C#4 B1) 20 .... 9C3 | .... .. ... . |
|   116 | ....  ... ..  .. .... 558 | 102E (B-3 AF) 20 .... 81F | 48A9 (C#6 C9) 12 .... 9D4 | .... .. ... . |
|   117 | ....  ... ..  .. .... 580 | ....  ... ..  .. .... 83F | 122A (C#4 B1) 10 .... 9E4 | .... .. ... . |
|   118 | ....  ... ..  .. .... 5A8 | 159A (E-4 B4) 10 .... 860 | ....  ... ..  40 .... 9F4 | .... .. ... . |
|   119 | ....  ... ..  .. .... 5D0 | 0D9B (G#3 AC) 20 .... 880 | ....  ... ..  20 .... A04 | .... .. ... . |
|   120 | ....  ... ..  .. .... 5F8 | ....  ... ..  40 .... 8A0 | 48A9 (C#6 C9) 12 .... A15 | .... .. ... . |
|   121 | ....  ... ..  09 00F5 ... | 183F (F#4 B6) .. .... 8C0 | 122A (C#4 B1) 10 .... A25 | .... .. ... . |
|   122 | 0915  ... ..  .. .... 8F8 | ....  ... ..  .. .... 8E0 | ....  ... ..  40 .... A35 | 9000 .. ... . |
|   123 | 5C15  F-6 CD  81 .... ... | 122A (C#4 B1) .. .... 900 | ....  ... ..  20 .... A45 | .... .. ... . |
|   124 | 0CD8 (G-3 AB) 41 .... ... | ....  ... ..  .. .... 920 | 48A9 (C#6 C9) 12 .... A56 | 1800 .. ... . |
|   125 | 0C1F (F#3 AA) 40 .... ... | 102E (B-3 AF) 20 .... 940 | 122A (C#4 B1) 10 .... A66 | C000 .. ... . |
|   126 | FE1F (B-7 DF) 80 .... ... | ....  ... ..  .. .... 960 | ....  ... ..  40 .... A76 | 7A00 .. ... . |
|   127 | ....  ... ..  .. .... ... | 159A (E-4 B4) 10 .... 981 | ....  ... ..  20 .... A86 | .... .. ... . |
|   128 | 0915  ... ..  00 .... ... | 0D9B (G#3 AC) 20 .... 9A1 | 48A9 (C#6 C9) 12 .... A97 | .... .. ... . |
|   129 | ....  ... ..  .. .... ... | ....  ... ..  40 .... 9C1 | 122A (C#4 B1) 10 .... AA7 | .... .. ... . |
|   130 | ....  ... ..  .. .... ... | 183F (F#4 B6) .. .... 9E1 | ....  ... ..  40 .... AB7 | .... .. ... . |
|   131 | ....  ... ..  .. .... ... | ....  ... ..  .. .... A01 | ....  ... ..  20 .... AC7 | .... .. ... . |
|   132 | ....  ... ..  .. .... ... | 122A (C#4 B1) .. .... A21 | 48A9 (C#6 C9) 12 .... AD8 | .... .. ... . |
|   133 | ....  ... ..  09 0692 ... | ....  ... ..  .. .... A41 | 122A (C#4 B1) 10 .... AE8 | .... .. ... . |
|   134 | 0307  ... ..  .. .... 420 | 102E (B-3 AF) 20 .... A61 | ....  ... ..  40 .... AF8 | 2000 .. ... . |
|   135 | 060F  F#2 9E  11 .... 448 | ....  ... ..  .. .... A81 | ....  ... ..  20 .... B08 | .... .. ... . |
|   136 | 0307 (F#1 92) 40 .... 470 | 159A (E-4 B4) 10 .... AA2 | 48A9 (C#6 C9) 12 .... B19 | 2100 .. ... . |
|   137 | ....  ... ..  .. .... 498 | 0D9B (G#3 AC) 20 .... AC2 | 122A (C#4 B1) 10 .... B29 | 2200 .. ... . |
|   138 | ....  ... ..  .. .... 4C0 | ....  ... ..  40 .... AE2 | ....  ... ..  40 .... B39 | 2300 .. ... . |
|   139 | ....  ... ..  09 .... ... | 183F (F#4 B6) .. .... B02 | ....  ... ..  20 .... B49 | .... .. ... . |
|   140 | ....  ... ..  .. .... 3E8 | ....  ... ..  .. .... B22 | 48A9 (C#6 C9) 12 .... B5A | 2800 .. ... . |
|   141 | 060F  F#2 9E  11 .... 410 | 122A (C#4 B1) .. .... B42 | 122A (C#4 B1) 10 .... B6A | .... .. ... . |
|   142 | 0307 (F#1 92) 41 .... 438 | ....  ... ..  .. .... B62 | ....  ... ..  40 .... B7A | 2900 .. ... . |
|   143 | ....  ... ..  .. .... 460 | 102E (B-3 AF) 20 .... B82 | ....  ... ..  20 .... B8A | 2A00 .. ... . |
|   144 | ....  ... ..  .. .... 488 | ....  ... ..  .. .... BA2 | 48A9 (C#6 C9) 12 .... B9B | 2B00 .. ... . |
|   145 | ....  ... ..  .. .... 4B0 | 159A (E-4 B4) 10 .... BC3 | 122A (C#4 B1) 10 .... BAB | 2C00 .. ... . |
|   146 | ....  ... ..  .. .... 4D8 | 0D9B (G#3 AC) 20 .... BE3 | ....  ... ..  40 .... BBB | 2D00 .. ... . |
|   147 | ....  ... ..  .. .... 500 | ....  ... ..  40 .... C03 | ....  ... ..  20 .... BCB | 2E00 .. ... . |
|   148 | ....  ... ..  .. .... 528 | 183F (F#4 B6) .. .... C23 | 48A9 (C#6 C9) 12 .... BDC | 2F00 .. ... . |
|   149 | ....  ... ..  .. .... 550 | ....  ... ..  .. .... C43 | 122A (C#4 B1) 10 .... BEC | 3000 .. ... . |
|   150 | ....  ... ..  .. .... 578 | 122A (C#4 B1) .. .... C63 | ....  ... ..  40 .... BFC | .... .. ... . |
|   151 | ....  ... ..  09 .... ... | ....  ... ..  .. .... C83 | ....  ... ..  20 .... C0C | .... .. ... . |
|   152 | 0ACD  ... ..  .. .... 3A0 | 102E (B-3 AF) 20 .... CA3 | 48A9 (C#6 C9) 12 .... C1D | 2800 .. ... . |
|   153 | 159A  E-4 B4  11 .... 3C8 | ....  ... ..  .. .... CC3 | 122A (C#4 B1) 10 .... C2D | .... .. ... . |
|   154 | 0ACD (E-3 A8) 41 .... 3F0 | 159A (E-4 B4) 10 .... CE4 | ....  ... ..  40 .... C3D | 2900 .. ... . |
|   155 | ....  ... ..  .. .... 418 | 0D9B (G#3 AC) 20 .... D04 | ....  ... ..  20 .... C4D | 2A00 .. ... . |
|   156 | ....  ... ..  .. .... 440 | ....  ... ..  40 .... D24 | 48A9 (C#6 C9) 12 .... C5E | 2B00 .. ... . |
|   157 | ....  ... ..  09 .... ... | 183F (F#4 B6) .. .... D44 | 122A (C#4 B1) 10 .... C6E | .... .. ... . |
|   158 | 0735  ... ..  .. .... 368 | ....  ... ..  .. .... D64 | ....  ... ..  40 .... C7E | 2800 .. ... . |
|   159 | 0E6A  A-3 AD  11 .... 390 | 122A (C#4 B1) .. .... D84 | ....  ... ..  20 .... C8E | .... .. ... . |
|   160 | 0735 (A-2 A1) 40 .... 3B8 | ....  ... ..  .. .... DA4 | 48A9 (C#6 C9) 12 .... C9F | 2900 .. ... . |
|   161 | ....  ... ..  .. .... 3E0 | 102E (B-3 AF) 20 .... DC4 | 122A (C#4 B1) 10 .... CAF | 2A00 .. ... . |
|   162 | ....  ... ..  .. .... 408 | ....  ... ..  .. .... DE4 | ....  ... ..  40 .... CBF | 2B00 .. ... . |
|   163 | ....  ... ..  .. .... 430 | 159A (E-4 B4) 10 .... E05 | ....  ... ..  20 .... CCF | 2C00 .. ... . |
|   164 | ....  ... ..  .. .... 458 | 0D9B (G#3 AC) 20 .... E25 | 48A9 (C#6 C9) 12 .... CE0 | 2500 .. ... . |
|   165 | ....  ... ..  .. .... 480 | ....  ... ..  40 .... E45 | 122A (C#4 B1) 10 .... CF0 | 2600 .. ... . |
|   166 | ....  ... ..  .. .... 4A8 | 183F (F#4 B6) .. .... E65 | ....  ... ..  40 .... D00 | 2700 .. ... . |
|   167 | ....  ... ..  .. .... 4D0 | ....  ... ..  .. .... E85 | ....  ... ..  20 .... D10 | 2800 .. ... . |
|   168 | ....  ... ..  .. .... 4F8 | 122A (C#4 B1) .. .... EA5 | 48A9 (C#6 C9) 12 .... D21 | .... .. ... . |
|   169 | ....  ... ..  09 00F5 ... | ....  ... ..  .. .... EC5 | 122A (C#4 B1) 10 .... D31 | .... .. ... . |
|   170 | 0915  ... ..  .. .... 8F8 | 102E (B-3 AF) 20 .... EE5 | ....  ... ..  40 .... D41 | 9000 .. ... . |
|   171 | 5C15  F-6 CD  81 .... ... | ....  ... ..  .. .... F05 | ....  ... ..  20 .... D51 | .... .. ... . |
|   172 | 0CD8 (G-3 AB) 41 .... ... | 159A (E-4 B4) 10 .... F26 | 48A9 (C#6 C9) 12 .... D62 | 1800 .. ... . |
|   173 | 0C1F (F#3 AA) 40 .... ... | 0D9B (G#3 AC) 20 .... F46 | 122A (C#4 B1) 10 .... D72 | C000 .. ... . |
|   174 | FE1F (B-7 DF) 80 .... ... | ....  ... ..  40 .... F66 | ....  ... ..  40 .... D82 | 7A00 .. ... . |
|   175 | ....  ... ..  .. .... ... | 183F (F#4 B6) .. .... F86 | ....  ... ..  20 .... D92 | .... .. ... . |
|   176 | 0915  ... ..  00 .... ... | ....  ... ..  .. .... FA6 | 48A9 (C#6 C9) 12 .... DA3 | .... .. ... . |
|   177 | ....  ... ..  .. .... ... | 122A (C#4 B1) .. .... FC6 | 122A (C#4 B1) 10 .... DB3 | .... .. ... . |
|   178 | ....  ... ..  .. .... ... | ....  ... ..  .. .... FE6 | ....  ... ..  40 .... DC3 | .... .. ... . |
|   179 | ....  ... ..  .. .... ... | 102E (B-3 AF) 20 .... ... | ....  ... ..  20 .... DD3 | .... .. ... . |
|   180 | ....  ... ..  .. .... ... | ....  ... ..  .. .... FC5 | 48A9 (C#6 C9) 12 .... DE4 | .... .. ... . |
|   181 | ....  ... ..  09 0692 ... | 159A (E-4 B4) 10 .... FA5 | 122A (C#4 B1) 10 .... DF4 | .... .. ... . |
|   182 | 06CD  ... ..  .. .... 420 | 0D9B (G#3 AC) 20 .... F84 | ....  ... ..  40 .... E04 | 2000 .. ... . |
|   183 | 0D9B  G#3 AC  11 .... 448 | ....  ... ..  40 .... F63 | ....  ... ..  20 .... E14 | .... .. ... . |
|   184 | 06CD (G#2 A0) 41 .... 470 | 183F (F#4 B6) .. .... F42 | 48A9 (C#6 C9) 12 .... E25 | 2100 .. ... . |
